Pentaceratops sternbergii,70.6,66.0
Utahceratops gettyi,72.1,72.1
Coahuilaceratops magnacuerna,70.6,70.6
Kosmoceratops richardsoni,72.1,72.1
Vagaceratops irvinensis,70.6,70.6
Anchiceratops ornatus,66.0,66.0
Arrhinoceratops brachyops,66.0,66.0
Eotriceratops xerinsularis,66.0,66.0
Ojoceratops fowleri,66.0,66.0
Nedoceratops hatcheri,70.6,66.0
Torosaurus latus,66.0,66.0
Triceratops horridus,70.6,66.0
Triceratops prorsus,66.0,66.0
Gideonmantellia amosanjuanae,125.45,125.45
Oryctodromeus cubicularis,93.9,93.9
Koreanosaurus boseongensis,72.1,72.1
Orodromeus makelai,72.1,66.0
Zephyrosaurus schaffi,100.5,100.5
Parksosaurus warreni,66.0,66.0
Thescelosaurus neglectus,70.6,66.0
Thescelosaurus assiniboiensis,66.0,66.0
Jeholosaurus shangyuanensis,122.46,122.46
Changchunsaurus parvus,93.9,93.9
Haya griva,83.6,83.6
Thescelosauridae,122.46,66.0
Hypsilophodon foxi,125.45,122.46
Gasparinisaura cincosaltensis,70.6,70.6
Anabisetia saldiviai,89.3,89.3
Macrogryphosaurus gondwanicus,85.8,85.8
Talenkauen santacrucensis,66.0,66.0
Muttaburrasaurus langdoni,99.6,99.6
Rhabdodon priscum,70.6,66.0
Zalmoxes robustus,70.6,66.0
Zalmoxes shqiperorum,66.0,66.0
Mochlodon suessi,70.6,66.0
Mochlodon vorosi,83.6,83.6
Tenontosaurus tilletti,113.0,100.5
Tenontosaurus dossi,112.03,112.03
Callovosaurus leedsi,161.2,161.2
Dryosaurus altus,152.1,145.0
Dysalotosaurus lettowvorbecki,150.8,150.8
Kangnasaurus coetzeei,66.0,66.0
Valdosaurus canaliculatus,139.8,125.0
Camptosaurus dispar,152.1,145.0
Cumnoria prestwichii,150.8,145.0
Uteodon aphanoecetes,145.0,145.0
Hippodraco scutodens,122.46,122.46
Theiophytalia kerri,100.5,100.5
Dakotadon lakotaensis,132.9,132.9
Iguanacolossus fortis,125.45,125.45
Lanzhousaurus magnidens,125.0,125.0
Barilium dawsoni,136.4,125.45
Iguanodon bernissartensis,139.8,100.5
Ouranosaurus nigeriensis,100.5,100.5
Mantellisaurus atherfieldensis,139.8,113.0
Jinzhousaurus yangi,122.46,122.46
Penelopognathus weishampeli,113.0,113.0
Altirhinus kurzanovi,99.6,99.6
Equijubus normani,113.0,113.0
Probactrosaurus mazongshanensis,113.0,113.0
Eolambia caroljonesa,99.6,93.5
Probactrosaurus gobiensis,100.5,100.5
Jeyawati rugoculus,89.3,89.3
Protohadros byrdi,93.5,93.5
Tethyshadros insularis,66.0,66.0
Nanyangosaurus zhugeii,100.5,100.5
Gilmoreosaurus mongolensis,70.6,70.6
Bactrosaurus johnsoni,70.6,66.0
Shuangmiaosaurus gilmorei,99.6,99.6
Claosaurus agilis,70.6,70.6
Telmatosaurus transsylvanicus,66.0,66.0
Lophorhothon atopus,70.6,70.6
Wulagasaurus dongi,66.0,66.0
Acristavus gagslarsoni,70.6,70.6
Brachylophosaurus canadensis,72.1,70.6
Maiasaura peeblesorum,72.1,70.6
Barsboldia sicinskii,66.0,66.0
Kritosaurus navajovius,70.6,70.6
Gryposaurus notabilis,70.6,70.6
Gryposaurus monumentensis,70.6,70.6
Gryposaurus latidens,70.6,70.6
Secernosaurus koerneri,66.0,66.0
Willinakaqe salitralensis,66.0,66.0
Prosaurolophus maximus,70.6,70.6
Saurolophus osborni,66.0,66.0
Saurolophus angustirostris,66.0,66.0
Kerberosaurus manakini,66.0,66.0
Kundurosaurus nagornyi,66.0,66.0
Shantungosaurus giganteus,72.1,72.1
Edmontosaurus annectens,72.1,66.0
Edmontosaurus regalis,70.6,66.0
Aralosaurus tuberiferus,70.6,70.6
Pararhabdodon isonensis,66.0,66.0
Tsintaosaurus spinorhinus,72.1,72.1
Jaxartosaurus aralensis,83.6,83.6
Arenysaurus ardevoli,66.0,66.0
Blasisaurus canudoi,66.0,66.0
Charonosaurus jiayinensis,66.0,66.0
Parasaurolophus walkeri,70.6,70.6
Parasaurolophus cyrtoctristatus,70.6,70.6
Amurosaurus riabinini,66.0,66.0
Sahaliyania elunchunorum,66.0,66.0
Magnapaulia laticaudus,70.6,70.6
Lambeosaurus lambei,72.1,70.6
Lambeosaurus clavintialis,72.1,70.6
Lambeosaurus magnicristatus,70.6,70.6
Corythosaurus casuarius,72.1,70.6
Corythosaurus intermedius,70.6,70.6
Olorotitan arharensis,66.0,66.0
Hypacrosaurus altispinus,66.0,66.0
Hypacrosaurus stebingeri,72.1,70.6
Saturnalia,228.0,208.5
Chromogisaurus,201.3,201.3
Pantydraco,201.3,201.3
Arcusaurus,190.8,190.8
Thecodontosaurus,247.2,190.8
Efraasia,212.0,208.5
Plateosauravus,201.3,201.3
Ruehleia,208.5,208.5
Plateosaurus engelhardti,208.5,208.5
Unaysaurus,208.5,208.5
Riojasaurus,208.5,208.5
Eucnemesaurus,201.3,201.3
Sarahsaurus,182.7,182.7
Massospondylus,201.3,174.1
Leyesaurus,174.1,174.1
Adeopapposaurus,174.1,174.1
Coloradisaurus,208.5,208.5
Glacialisaurus,182.7,182.7
Lufengosaurus,199.3,174.1
Jingshanosaurus,199.3,199.3
Yunnanosaurus huangi,199.3,190.8
Chuxiongosaurus,190.8,190.8
Seitaad,174.1,174.1
Anchisaurus,190.8,190.8
Aardonyx,190.8,190.8
Leonerasaurus,174.1,174.1
Melanorosaurus,201.3,190.8
Antetonitrus,201.3,201.3
Lessemsaurus,208.5,208.5
Lamplughsaura,190.8,190.8
Camelotia,201.3,201.3
Gongxianosaurus,174.1,174.1
Isanosaurus,201.3,201.3
Tazoudasaurus,174.1,174.1
Vulcanodon,199.3,199.3
Rhoetosaurus,168.3,168.3
Kotasaurus,182.7,182.7
Spinophorosaurus,163.5,163.5
Shunosaurus,163.5,145.0
Datousaurus,163.5,163.5
Cetiosaurus,168.3,122.46
Patagosaurus,163.5,163.5
Barapasaurus,182.7,182.7
Klamelisaurus,157.3,157.3
Chuanjiesaurus,163.5,163.5
Mamenchisaurus youngi,157.3,157.3
Mamenchisaurus constructus,157.3,145.0
Yuanmousaurus jiangyiensis,163.5,163.5
Cetiosauriscus,161.2,161.2
Omeisaurus junghsiensis,163.5,145.0
Omeisaurus jiaoi,163.5,163.5
Omeisaurus maoanus,163.5,145.0
Omeisaurus tianfuensis,163.5,163.5
Ferganasaurus,163.5,163.5
Turiasaurus,140.2,139.8
Jobaria,145.0,145.0
Atlasaurus,166.1,166.1
Haplocanthosaurus priscus,145.0,145.0
Amphicoelias,152.1,145.0
Nigersaurus,100.5,100.5
Demandasaurus,122.46,122.46
Cathartesaura,89.8,89.8
Limaysaurus,93.5,89.8
Zapalasaurus,122.46,109.0
Rebbachisaurus,93.9,93.5
Comahuesaurus,100.5,100.5
Dicraeosaurus sattleri,145.0,145.0
Brachytrachelopan,145.0,145.0
Amargasaurus,122.46,122.46
Suuwassea,145.0,145.0
Apatosaurus ajax,145.0,145.0
Apatosaurus excelsus,145.0,145.0
Apatosaurus parvus,145.0,145.0
Apatosaurus louisae,145.0,145.0
Tornieria,150.8,145.0
Barosaurus,152.1,145.0
Diplodocus carnegiei,145.0,145.0
Diplodocus hayi,145.0,145.0
Diplodocus hallorum,145.0,145.0
Diplodocus longus,145.0,145.0
Lourinhasaurus,152.1,93.9
Camarasaurus lewisi,152.1,152.1
Camarasaurus supremus,152.1,145.0
Camarasaurus grandis,152.1,145.0
Janenschia,150.8,145.0
Tehuelchesaurus,145.0,145.0
Aragosaurus,140.2,140.2
Europasaurus,152.1,152.1
Brachiosaurus,152.1,145.0
Lusotitan,145.0,145.0
Giraffatitan,157.3,145.0
Cedarosaurus,125.0,105.3
Venenosaurus,125.0,125.0
Dongbeititan,125.0,125.0
Sauroposeidon,112.03,100.5
Sonorasaurus,93.5,93.5
Tastavinsaurus,122.46,122.46
Pelorosaurus becklesii,132.9,132.9
Euhelopus,122.46,100.5
Erketu,83.6,72.1
Qiaowanlong,100.5,100.5
Gobititan,113.0,113.0
Tangvayosaurus,100.5,100.5
Phuwiangosaurus,113.0,113.0
Chubutisaurus,93.9,93.9
Ruyangosaurus,89.8,89.8
Wintonotitan,93.9,89.3
Ligabuesaurus,109.0,109.0
Andesaurus,93.5,93.5
Futalognkosaurus,85.8,85.8
Mendozasaurus,83.5,83.5
Argentinosaurus,89.8,89.8
Epachthosaurus,89.3,89.3
Malawisaurus,113.0,113.0
Nemegtosaurus,85.8,66.0
Isisaurus,66.0,66.0
Tapuiasaurus,113.0,113.0
Gondwanatitan,83.6,66.0
Aeolosaurus maximus,66.0,66.0
Aeolosaurus sp.,66.0,66.0
Aeolosaurus rionegrinus,66.0,66.0
Muyelensaurus,83.5,83.5
Rinconsaurus,83.5,83.5
Alamosaurus,72.1,66.0
Opisthocoelicaudia,66.0,66.0
Rocasaurus,66.0,66.0
Neuquensaurus,83.6,66.0
Saltasaurus,66.0,66.0
Herrerasaurus,228.0,201.3
Staurikosaurus,228.0,228.0
Eoraptor,228.0,228.0
Daemonosaurus,201.3,201.3
Tawa,208.5,208.5
Coelophysis bauri,208.5,201.3
Coelophysis rhodesiensis,201.3,190.8
Liliensternus,208.5,201.3
Zupaysaurus,208.5,208.5
Dilophosaurus,190.8,182.7
Spinostropheus,125.45,93.5
Elaphrosaurus,152.1,93.5
Limusaurus,157.3,157.3
Ceratosaurus,152.1,145.0
Genyodectes,113.0,113.0
Masiakasaurus,66.0,66.0
Genusaurus,105.3,105.3
Noasaurus,66.0,66.0
Velocisaurus,83.6,83.6
Laevisuchus,66.0,66.0
Eoabelisaurus,168.3,168.3
Rugops,93.9,93.9
Abelisaurus,70.6,70.6
Indosaurus,66.0,66.0
Majungasaurus,66.0,66.0
Rajasaurus,66.0,66.0
Aucasaurus,70.6,70.6
Carnotaurus,72.1,72.1
Ekrixinatosaurus,93.5,93.5
Skorpiovenator,89.8,89.8
Ilokelesia,89.8,89.8
Cryolophosaurus,182.7,182.7
Dilophosaurus sinensis,190.8,190.8
Monolophosaurus,163.5,163.5
Marshosaurus,152.1,145.0
Condorraptor,163.5,163.5
Spinosaurus,109.0,72.1
Angaturama,100.5,100.5
Irritator,100.5,100.5
Suchomimus,100.5,100.5
Baryonyx,136.4,113.0
Eustreptospondylus,161.2,161.2
Afrovenator,145.0,145.0
Magnosaurus,168.4,168.4
Dubreuillosaurus,164.7,164.7
Leshansaurus,145.0,145.0
Duriavenator,167.7,167.7
Megalosaurus,201.3,66.0
